2019-07-16 14:32:30.450 DEBUG  [0x35d10b0](..\..\..\src\Server.c:110 main) - hello, zlog
2019-07-16 14:32:31.516 DEBUG  [0x35d10b0](..\..\..\src\Server.c:110 main) - hello, zlog
2019-07-16 14:32:32.581 DEBUG  [0x35d10b0](..\..\..\src\Server.c:110 main) - hello, zlog
2019-07-16 14:32:33.654 DEBUG  [0x35d10b0](..\..\..\src\Server.c:110 main) - hello, zlog
2019-07-16 14:32:34.720 DEBUG  [0x35d10b0](..\..\..\src\Server.c:110 main) - hello, zlog
2019-07-16 14:32:35.788 DEBUG  [0x35d10b0](..\..\..\src\Server.c:110 main) - hello, zlog
2019-07-16 14:32:36.854 DEBUG  [0x35d10b0](..\..\..\src\Server.c:110 main) - hello, zlog
2019-07-16 14:32:37.923 DEBUG  [0x35d10b0](..\..\..\src\Server.c:110 main) - hello, zlog
2019-07-16 14:32:38.990 DEBUG  [0x35d10b0](..\..\..\src\Server.c:110 main) - hello, zlog
2019-07-16 14:32:40.057 DEBUG  [0x35d10b0](..\..\..\src\Server.c:110 main) - hello, zlog
2019-07-16 14:42:01.123 DEBUG  [0x2d174b0](..\..\..\src\Server.c:110 main) - hello, zlog
2019-07-16 14:42:02.190 DEBUG  [0x2d174b0](..\..\..\src\Server.c:110 main) - hello, zlog
2019-07-16 14:42:03.258 DEBUG  [0x2d174b0](..\..\..\src\Server.c:110 main) - hello, zlog
2019-07-16 14:42:04.326 DEBUG  [0x2d174b0](..\..\..\src\Server.c:110 main) - hello, zlog
2019-07-16 14:42:05.394 DEBUG  [0x2d174b0](..\..\..\src\Server.c:110 main) - hello, zlog
2019-07-16 14:42:06.461 DEBUG  [0x2d174b0](..\..\..\src\Server.c:110 main) - hello, zlog
2019-07-16 14:42:07.529 DEBUG  [0x2d174b0](..\..\..\src\Server.c:110 main) - hello, zlog
2019-07-16 14:42:08.596 DEBUG  [0x2d174b0](..\..\..\src\Server.c:110 main) - hello, zlog
2019-07-16 14:42:09.664 DEBUG  [0x2d174b0](..\..\..\src\Server.c:110 main) - hello, zlog
2019-07-16 14:42:10.731 DEBUG  [0x2d174b0](..\..\..\src\Server.c:110 main) - hello, zlog
2019-07-16 14:47:19.767 INFO   [0x37074b0](..\..\..\src\Server.c:123 main) - Mempool Initializing
2019-07-16 14:47:19.847 INFO   [0x37074b0](..\..\..\src\Server.c:134 main) - Mempool Initialized
2019-07-16 14:47:19.922 INFO   [0x37074b0](..\..\..\src\Server.c:138 main) - Start connect to Database
2019-07-16 14:47:20.151 INFO   [0x37074b0](..\..\..\src\Server.c:214 main) - Buffers initialize Success
2019-07-16 14:51:09.401 INFO   [0x2b274b0](..\..\..\src\Server.c:106 main) - Start Server
2019-07-16 14:51:09.475 INFO   [0x2b274b0](..\..\..\src\Server.c:121 main) - Mempool Initializing
2019-07-16 14:51:09.541 INFO   [0x2b274b0](..\..\..\src\Server.c:132 main) - Mempool Initialized
2019-07-16 14:51:09.606 INFO   [0x2b274b0](..\..\..\src\Server.c:136 main) - Start connect to Database
2019-07-16 14:51:09.671 INFO   [0x2b274b0](..\..\..\src\Server.c:151 main) - Database Argument [dbname=botdb user=postgres password=bedis402 host=127.0.0.1 port=5432]
